uuid|metadata|indexed_metadata|searchable_metadata|exact_matching_metadata|suggest|coordinate
ultimates_vol_2_11~book|{"img":"d\/d5\/Ultimates_Vol_2_11.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Ultimates Vol 2 #11","slug":"Ultimates_Vol_2_11"}|{"supporting_chars":[{"id":"conner_sims","slug":"Conner_Sims","name":"Anti-Man (Conner Sims)"}],"antagonists":[{"id":"thanos","slug":"Thanos","name":"Thanos (Earth-19141)"}],"featured_chars":[{"id":"ultimates","slug":"Ultimates","name":"Ultimates (Prime Marvel Universe)"},{"id":"america_chavez_(utopian_parallel)","slug":"America_Chavez_(Utopian_Parallel)","name":"Captain America (America Chavez)"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)"},{"id":"adam_brashear","slug":"Adam_Brashear","name":"Blue Marvel (Dr. Adam Brashear)"},{"id":"t'challa","slug":"T'Challa","name":"Black Panther \/ \"Luke Charles\" (King T'Challa)"},{"id":"monica_rambeau","slug":"Monica_Rambeau","name":"Daystar \/ Photon (Monica Rambeau)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"titanians","slug":"Titanians","name":"Eternals of Titan"},{"id":"abstract_entities","slug":"Abstract_Entities","name":"Abstract Entities"},{"id":"cosmic_beings","slug":"Cosmic_Beings","name":"Cosmic Beings"},{"id":"cosmic_cube","slug":"Cosmic_Cube","name":"\"Mr. Dapples\""},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"}]}|{"title":"Ultimates Vol 2 #11","featured_chars":["Ultimates (Prime Marvel Universe)","Captain America (America Chavez)","Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)","Blue Marvel (Dr. Adam Brashear)","Black Panther \/ \"Luke Charles\" (King T'Challa)","Daystar \/ Photon (Monica Rambeau)"],"supporting_chars":["Anti-Man (Conner Sims)"],"antagonists":["Thanos (Earth-19141)"],"races_species":["Humans (Homo sapiens)","Eternals of Titan","Abstract Entities","Cosmic Beings","\"Mr. Dapples\"","Human-Kree Hybrids"]}|[]|["Ultimates Vol 2 #11"]|
totally_awesome_hulk_vol_1_10~book|{"img":"b\/ba\/Totally_Awesome_Hulk_Vol_1_10.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Totally Awesome Hulk  #10","slug":"Totally_Awesome_Hulk_Vol_1_10"}|{"supporting_chars":[{"id":"ultimates","slug":"Ultimates","name":"Ultimates (Prime Marvel Universe)"},{"id":"t'challa","slug":"T'Challa","name":"Black Panther \/ \"Luke Charles\" (King T'Challa)"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)"}],"antagonists":[{"id":"christian_sung","slug":"Christian_Sung","name":"\"Austin Monster\" (Christian Sung)"}],"featured_chars":[{"id":"amadeus_cho","slug":"Amadeus_Cho","name":"Hulk \/ \"Amadeus Park\" (Amadeus Cho)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"sharks","slug":"Sharks","name":"Sharks"}]}|{"title":"Totally Awesome Hulk  #10","featured_chars":["Hulk \/ \"Amadeus Park\" (Amadeus Cho)"],"supporting_chars":["Ultimates (Prime Marvel Universe)","Black Panther \/ \"Luke Charles\" (King T'Challa)","Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)"],"antagonists":["\"Austin Monster\" (Christian Sung)"],"races_species":["Humans (Homo sapiens)","Human-Kree Hybrids","Sharks"]}|[]|["Totally Awesome Hulk  #10"]|
civil_war_ii_vol_1_5~book|{"img":"2\/2c\/Civil_War_II_Vol_1_5.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Civil War II  #5","slug":"Civil_War_II_Vol_1_5"}|{"supporting_chars":[{"id":"guardians_of_the_galaxy","slug":"Guardians_of_the_Galaxy","name":"Guardians of the Galaxy"},{"id":"arthur_douglas","slug":"Arthur_Douglas","name":"Drax the Pacifist \/ Nova (Arthur Douglas)"},{"id":"benjamin_grimm","slug":"Benjamin_Grimm","name":"Thing\/Angrir, Breaker of Souls (Ben Grimm)"},{"id":"aldrif_odinsdottir","slug":"Aldrif_Odinsdottir","name":"Angela (Aldrif Odinsdottir)"},{"id":"katherine_pryde","slug":"Katherine_Pryde","name":"Sprite \/ Ariel \/ Shadowcat (Kitty Pryde)"},{"id":"groot","slug":"Groot","name":"Thor (Groot)"},{"id":"eugene_thompson","slug":"Eugene_Thompson","name":"Venom\/\"Hail Mary, the Mother Superior of Punishment\" (Flash Thompson)"},{"id":"peter_quill","slug":"Peter_Quill","name":"Swingin' Stevie Rogers (Peter Quill)"},{"id":"gamora_zen_whoberi_ben_titan","slug":"Gamora_Zen_Whoberi_Ben_Titan","name":"Old Woman Gamora"},{"id":"rocket_raccoon","slug":"Rocket_Raccoon","name":"Rocket Raccoon \/ \"Raccoon-Man\""}],"featured_chars":[{"id":"anthony_stark","slug":"Anthony_Stark","name":"Iron Man (Anthony Stark) (Earth-81191)"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"cosmic_beings","slug":"Cosmic_Beings","name":"Cosmic Beings"},{"id":"synthezoids","slug":"Synthezoids","name":"Synthezoids"},{"id":"homo_superior","slug":"Homo_superior","name":"Mutants (Homo superior)"},{"id":"human-inhuman_hybrids","slug":"Human-Inhuman_Hybrids","name":"Human-Inhuman Hybrids"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"klyntar_(race)","slug":"Klyntar_(Race)","name":"Symbiotes"},{"id":"zen-whoberis","slug":"Zen-Whoberis","name":"Zen-Whoberis"},{"id":"asgardians","slug":"Asgardians","name":"Asgardians (Future)"},{"id":"human-spartoi_hybrids","slug":"Human-Spartoi_Hybrids","name":"Human-Spartoi Hybrids"},{"id":"flora_colossus","slug":"Flora_colossus","name":"Flora colossus"},{"id":"inhumans_(inhomo_supremis)","slug":"Inhumans_(Inhomo_supremis)","name":"New Attilan's Inhumans"},{"id":"halfworlders","slug":"Halfworlders","name":"Halfworlders"},{"id":"dogs","slug":"Dogs","name":"Dogs"}]}|{"title":"Civil War II  #5","featured_chars":["Iron Man (Anthony Stark) (Earth-81191)","Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)"],"supporting_chars":["Guardians of the Galaxy","Drax the Pacifist \/ Nova (Arthur Douglas)","Thing\/Angrir, Breaker of Souls (Ben Grimm)","Angela (Aldrif Odinsdottir)","Sprite \/ Ariel \/ Shadowcat (Kitty Pryde)","Thor (Groot)","Venom\/\"Hail Mary, the Mother Superior of Punishment\" (Flash Thompson)","Swingin' Stevie Rogers (Peter Quill)","Old Woman Gamora","Rocket Raccoon \/ \"Raccoon-Man\""],"races_species":["Humans (Homo sapiens)","Cosmic Beings","Synthezoids","Mutants (Homo superior)","Human-Inhuman Hybrids","Human-Kree Hybrids","Symbiotes","Zen-Whoberis","Asgardians (Future)","Human-Spartoi Hybrids","Flora colossus","New Attilan's Inhumans","Halfworlders","Dogs"]}|[]|["Civil War II  #5"]|
all-new_wolverine_vol_1_12~book|{"img":"0\/01\/All-New_Wolverine_Vol_1_12.jpg\/revision\/latest\/scale-to-width-down\/300","title":"All-New Wolverine  #12","slug":"All-New_Wolverine_Vol_1_12"}|{"supporting_chars":[{"id":"james_howlett","slug":"James_Howlett","name":"Wolverine (James Howlett of Earth-2149)"},{"id":"strategic_homeland_intervention,_enforcement_and_logistics_division","slug":"Strategic_Homeland_Intervention,_Enforcement_and_Logistics_Division","name":"S.H.I.E.L.D. agents"},{"id":"steven_rogers","slug":"Steven_Rogers","name":"Captain America (Kobik's Timeline's Steve Rogers)"},{"id":"maria_hill","slug":"Maria_Hill","name":"Commander\/Director Maria Hill"}],"featured_chars":[{"id":"laura_kinney","slug":"Laura_Kinney","name":"X-23 \/ Venomized Wolverine (Laura Kinney)"}],"races_species":[{"id":"homo_superior","slug":"Homo_superior","name":"Mutants (Homo superior)"},{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"}]}|{"title":"All-New Wolverine  #12","featured_chars":["X-23 \/ Venomized Wolverine (Laura Kinney)"],"supporting_chars":["Wolverine (James Howlett of Earth-2149)","S.H.I.E.L.D. agents","Captain America (Kobik's Timeline's Steve Rogers)","Commander\/Director Maria Hill"],"races_species":["Mutants (Homo superior)","Humans (Homo sapiens)"]}|[]|["All-New Wolverine  #12"]|
civil_war_ii:_choosing_sides_vol_1_6~book|{"img":"5\/58\/Civil_War_II_Choosing_Sides_Vol_1_6.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Civil War II: Choosing Sides  #6","slug":"Civil_War_II:_Choosing_Sides_Vol_1_6"}|{"supporting_chars":[{"id":"anthony_stark","slug":"Anthony_Stark","name":"Iron Man (Anthony Stark) (Earth-81191)"},{"id":"clermont_county_sheriff's_department?action=edit&redlink=1","slug":"Clermont_County_Sheriff's_Department?action=edit&redlink=1","name":"Clermont County Sheriff's Department"}],"featured_chars":[{"id":"jessica_jones","slug":"Jessica_Jones","name":"Jessica Jones\/\"Jewel\""}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"inhumans_(inhomo_supremis)","slug":"Inhumans_(Inhomo_supremis)","name":"New Attilan's Inhumans"}]}|{"title":"Civil War II: Choosing Sides  #6","featured_chars":["Jessica Jones\/\"Jewel\""],"supporting_chars":["Iron Man (Anthony Stark) (Earth-81191)","Clermont County Sheriff's Department"],"races_species":["Humans (Homo sapiens)","New Attilan's Inhumans"]}|[]|["Civil War II: Choosing Sides  #6"]|
power_man_and_iron_fist_vol_3_8~book|{"img":"8\/8e\/Power_Man_and_Iron_Fist_Vol_3_8.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Power Man and Iron Fist Vol 3 #8","slug":"Power_Man_and_Iron_Fist_Vol_3_8"}|{"supporting_chars":[{"id":"shadrick_daniels","slug":"Shadrick_Daniels","name":"Mangler (Shadrick Daniels)"},{"id":"benjamin_donovan,_jr.","slug":"Benjamin_Donovan,_Jr.","name":"Little Ben (Ben Donovan, Jr.)"},{"id":"carlos_cabrera","slug":"Carlos_Cabrera","name":"Gamecock (Charles Cardona)"},{"id":"marta_cardona","slug":"Marta_Cardona","name":"Marta Cardona"},{"id":"gadget","slug":"Gadget","name":"Gadget"},{"id":"se\u00f1or_m\u00e1gico","slug":"Se\u00f1or_M\u00e1gico","name":"Se\u00f1or M\u00e1gico"},{"id":"cletus_evans","slug":"Cletus_Evans","name":"Disco Devil (Cletus Evans)"},{"id":"dontrell_hamilton","slug":"Dontrell_Hamilton","name":"Cockroach Hamilton (Dontrell Hamilton)"},{"id":"noah_black","slug":"Noah_Black","name":"Doc Century\/Centurius (Noah Black)"}],"antagonists":[{"id":"albert_rackham","slug":"Albert_Rackham","name":"Billy Bob Rackham"},{"id":"quirt","slug":"Quirt","name":"Quirt"},{"id":"demons","slug":"Demons","name":"An Unidentified Demon"},{"id":"preemptive_strike","slug":"Preemptive_Strike","name":"Preemptive Strike"},{"id":"blast-hands_(hank)","slug":"Blast-Hands_(Hank)","name":"Blast-Hands (Hank)"},{"id":"alex_wilder","slug":"Alex_Wilder","name":"Agnitus designer"},{"id":"isadore_dudley","slug":"Isadore_Dudley","name":"Isadore Dudley"}],"featured_chars":[{"id":"heroes_for_hire_(power_man_&_iron_fist)","slug":"Heroes_for_Hire_(Power_Man_&_Iron_Fist)","name":"Heroes for Hire"},{"id":"luke_cage","slug":"Luke_Cage","name":"Power Man (Luke Cage) (past and present)"},{"id":"daniel_rand","slug":"Daniel_Rand","name":"Iron Fist (Daniel Rand) (past and present)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"demons","slug":"Demons","name":"An Unidentified Demon"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"homo_superior","slug":"Homo_superior","name":"Mutants (Homo superior)"},{"id":"cyborgs","slug":"Cyborgs","name":"Cyborgs"}]}|{"title":"Power Man and Iron Fist Vol 3 #8","featured_chars":["Heroes for Hire","Power Man (Luke Cage) (past and present)","Iron Fist (Daniel Rand) (past and present)"],"supporting_chars":["Mangler (Shadrick Daniels)","Little Ben (Ben Donovan, Jr.)","Gamecock (Charles Cardona)","Marta Cardona","Gadget","Se\u00f1or M\u00e1gico","Disco Devil (Cletus Evans)","Cockroach Hamilton (Dontrell Hamilton)","Doc Century\/Centurius (Noah Black)"],"antagonists":["Billy Bob Rackham","Quirt","An Unidentified Demon","Preemptive Strike","Blast-Hands (Hank)","Agnitus designer","Isadore Dudley"],"races_species":["Humans (Homo sapiens)","An Unidentified Demon","Human-Kree Hybrids","Mutants (Homo superior)","Cyborgs"]}|[]|["Power Man and Iron Fist Vol 3 #8"]|
guardians_of_the_galaxy_vol_4_12~book|{"img":"c\/c4\/Guardians_of_the_Galaxy_Vol_4_12.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Guardians of the Galaxy Vol 4 #12","slug":"Guardians_of_the_Galaxy_Vol_4_12"}|{"supporting_chars":[{"id":"alpha_flight_(space_program)","slug":"Alpha_Flight_(Space_Program)","name":"Alpha Flight"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)"},{"id":"walter_langkowski","slug":"Walter_Langkowski","name":"Agent Sasquatch (Walter Langkowski)"},{"id":"jeanne-marie_beaubier","slug":"Jeanne-Marie_Beaubier","name":"Aurora (Jeanne-Marie Beaubier)"},{"id":"eugene_judd","slug":"Eugene_Judd","name":"Puck (Eugene Judd) (Earth-807128)"}],"featured_chars":[{"id":"guardians_of_the_galaxy","slug":"Guardians_of_the_Galaxy","name":"Guardians of the Galaxy"},{"id":"peter_quill","slug":"Peter_Quill","name":"Swingin' Stevie Rogers (Peter Quill)"},{"id":"rocket_raccoon","slug":"Rocket_Raccoon","name":"Rocket Raccoon \/ \"Raccoon-Man\""},{"id":"benjamin_grimm","slug":"Benjamin_Grimm","name":"Thing\/Angrir, Breaker of Souls (Ben Grimm)"},{"id":"aldrif_odinsdottir","slug":"Aldrif_Odinsdottir","name":"Angela (Aldrif Odinsdottir)"},{"id":"katherine_pryde","slug":"Katherine_Pryde","name":"Sprite \/ Ariel \/ Shadowcat (Kitty Pryde)"},{"id":"gamora_zen_whoberi_ben_titan","slug":"Gamora_Zen_Whoberi_Ben_Titan","name":"Old Woman Gamora"},{"id":"arthur_douglas","slug":"Arthur_Douglas","name":"Drax the Pacifist \/ Nova (Arthur Douglas)"},{"id":"eugene_thompson","slug":"Eugene_Thompson","name":"Venom\/\"Hail Mary, the Mother Superior of Punishment\" (Flash Thompson)"},{"id":"groot","slug":"Groot","name":"Thor (Groot)"}],"races_species":[{"id":"human-spartoi_hybrids","slug":"Human-Spartoi_Hybrids","name":"Human-Spartoi Hybrids"},{"id":"halfworlders","slug":"Halfworlders","name":"Halfworlders"},{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"asgardians","slug":"Asgardians","name":"Asgardians (Future)"},{"id":"homo_superior","slug":"Homo_superior","name":"Mutants (Homo superior)"},{"id":"zen-whoberis","slug":"Zen-Whoberis","name":"Zen-Whoberis"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"flora_colossus","slug":"Flora_colossus","name":"Flora colossus"},{"id":"inhumans_(inhomo_supremis)","slug":"Inhumans_(Inhomo_supremis)","name":"New Attilan's Inhumans"},{"id":"klyntar_(race)","slug":"Klyntar_(Race)","name":"Symbiotes"}]}|{"title":"Guardians of the Galaxy Vol 4 #12","featured_chars":["Guardians of the Galaxy","Swingin' Stevie Rogers (Peter Quill)","Rocket Raccoon \/ \"Raccoon-Man\"","Thing\/Angrir, Breaker of Souls (Ben Grimm)","Angela (Aldrif Odinsdottir)","Sprite \/ Ariel \/ Shadowcat (Kitty Pryde)","Old Woman Gamora","Drax the Pacifist \/ Nova (Arthur Douglas)","Venom\/\"Hail Mary, the Mother Superior of Punishment\" (Flash Thompson)","Thor (Groot)"],"supporting_chars":["Alpha Flight","Captain Marvel \/ \"Captain Car-Ell\" (Carol Danvers)","Agent Sasquatch (Walter Langkowski)","Aurora (Jeanne-Marie Beaubier)","Puck (Eugene Judd) (Earth-807128)"],"races_species":["Human-Spartoi Hybrids","Halfworlders","Humans (Homo sapiens)","Asgardians (Future)","Mutants (Homo superior)","Zen-Whoberis","Human-Kree Hybrids","Flora colossus","New Attilan's Inhumans","Symbiotes"]}|[]|["Guardians of the Galaxy Vol 4 #12"]|
patsy_walker,_a.k.a._hellcat!_vol_1_10~book|{"img":"2\/29\/Patsy_Walker%2C_A.K.A._Hellcat%21_Vol_1_10.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Patsy Walker, A.K.A. Hellcat!  #10","slug":"Patsy_Walker,_A.K.A._Hellcat!_Vol_1_10"}|{"supporting_chars":[{"id":"patsy_walker_temp_agency","slug":"Patsy_Walker_Temp_Agency","name":"Patsy Walker Temp Agency"},{"id":"jubilation_lee","slug":"Jubilation_Lee","name":"Wolverine (Jubilation Lee)"}],"antagonists":[{"id":"belial_(demon)","slug":"Belial_(Demon)","name":"Belial"},{"id":"robert_baxter","slug":"Robert_Baxter","name":"Mad-Dog (Buzz Baxter)"},{"id":"daimon_hellstrom","slug":"Daimon_Hellstrom","name":"Hellstorm, Son of Satan (Daimon Hellstrom)"},{"id":"black_cat's_gang","slug":"Black_Cat's_Gang","name":"Black Cat's Criminal Army"},{"id":"felicia_hardy","slug":"Felicia_Hardy","name":"Black Cat (Felicia Hardy)"},{"id":"lina_(black_cats)?action=edit&redlink=1","slug":"Lina_(Black_Cats)?action=edit&redlink=1","name":"Lina"}],"featured_chars":[{"id":"patricia_walker","slug":"Patricia_Walker","name":"Hellcat (Patricia \"Patsy\" Walker)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"demons","slug":"Demons","name":"An Unidentified Demon"},{"id":"vampires","slug":"Vampires","name":"Vampires (Hominus nocturna)"},{"id":"human-dog_hybrids","slug":"Human-Dog_Hybrids","name":"Human-Dog Hybrids"},{"id":"human-demon_hybrids","slug":"Human-Demon_Hybrids","name":"Human-Demon Hybrids"},{"id":"human-inhuman_hybrids","slug":"Human-Inhuman_Hybrids","name":"Human-Inhuman Hybrids"}]}|{"title":"Patsy Walker, A.K.A. Hellcat!  #10","featured_chars":["Hellcat (Patricia \"Patsy\" Walker)"],"supporting_chars":["Patsy Walker Temp Agency","Wolverine (Jubilation Lee)"],"antagonists":["Belial","Mad-Dog (Buzz Baxter)","Hellstorm, Son of Satan (Daimon Hellstrom)","Black Cat's Criminal Army","Black Cat (Felicia Hardy)","Lina"],"races_species":["Humans (Homo sapiens)","An Unidentified Demon","Vampires (Hominus nocturna)","Human-Dog Hybrids","Human-Demon Hybrids","Human-Inhuman Hybrids"]}|[]|["Patsy Walker, A.K.A. Hellcat!  #10"]|
mighty_thor_vol_2_11~book|{"img":"c\/ca\/Mighty_Thor_Vol_2_11.jpg\/revision\/latest\/scale-to-width-down\/300","title":"Mighty Thor Vol 2 #11","slug":"Mighty_Thor_Vol_2_11"}|{"supporting_chars":[{"id":"strategic_homeland_intervention,_enforcement_and_logistics_division","slug":"Strategic_Homeland_Intervention,_Enforcement_and_Logistics_Division","name":"S.H.I.E.L.D. agents"},{"id":"agent_krill","slug":"Agent_Krill","name":"Agent Krill"},{"id":"agent_kurdle","slug":"Agent_Kurdle","name":"Agent Kurdle"},{"id":"rosalind_solomon","slug":"Rosalind_Solomon","name":"Senator Roz Solomon"},{"id":"maria_hill","slug":"Maria_Hill","name":"Commander\/Director Maria Hill"}],"antagonists":[{"id":"clan_yashida","slug":"Clan_Yashida","name":"Yashida Industries"},{"id":"shingen_harada_ii","slug":"Shingen_Harada_II","name":"Silver Samurai (Shingen \"Shin\" Harada)"}],"featured_chars":[{"id":"jane_foster","slug":"Jane_Foster","name":"Thor (Dr. Jane Foster)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"},{"id":"mindless_ones","slug":"Mindless_Ones","name":"Black Hole Sons"},{"id":"bilgesnipes","slug":"Bilgesnipes","name":"Bilgesnipes"}]}|{"title":"Mighty Thor Vol 2 #11","featured_chars":["Thor (Dr. Jane Foster)"],"supporting_chars":["S.H.I.E.L.D. agents","Agent Krill","Agent Kurdle","Senator Roz Solomon","Commander\/Director Maria Hill"],"antagonists":["Yashida Industries","Silver Samurai (Shingen \"Shin\" Harada)"],"races_species":["Humans (Homo sapiens)","Black Hole Sons","Bilgesnipes"]}|[]|["Mighty Thor Vol 2 #11"]|
international_iron_man_vol_1_7~book|{"img":"0\/05\/International_Iron_Man_Vol_1_7.jpg\/revision\/latest\/scale-to-width-down\/300","title":"International Iron Man  #7","slug":"International_Iron_Man_Vol_1_7"}|{"supporting_chars":[{"id":"strategic_homeland_intervention,_enforcement_and_logistics_division","slug":"Strategic_Homeland_Intervention,_Enforcement_and_Logistics_Division","name":"S.H.I.E.L.D. agents"},{"id":"howard_stark","slug":"Howard_Stark","name":"Baron Zemo (Howard Stark)"},{"id":"valentina_allegra_de_fontaine","slug":"Valentina_Allegra_de_Fontaine","name":"Madame Hydra (Contessa Valentina Allegra de la Fontaine)"},{"id":"nicholas_fury","slug":"Nicholas_Fury","name":"Black Widow (Natasha Romanoff)"},{"id":"timothy_dugan","slug":"Timothy_Dugan","name":"Dum Dum Dugan (Timothy Dugan)"}],"antagonists":[{"id":"hydra","slug":"Hydra","name":"Hope Yards Development and Relocation Association (H.Y.D.R.A.)"},{"id":"jude_(tony_stark's_father)","slug":"Jude_(Tony_Stark's_Father)","name":"Jude"}],"featured_chars":[{"id":"amanda_armstrong","slug":"Amanda_Armstrong","name":"Amanda Armstrong"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans (Homo sapiens)"}]}|{"title":"International Iron Man  #7","featured_chars":["Amanda Armstrong"],"supporting_chars":["S.H.I.E.L.D. agents","Baron Zemo (Howard Stark)","Madame Hydra (Contessa Valentina Allegra de la Fontaine)","Black Widow (Natasha Romanoff)","Dum Dum Dugan (Timothy Dugan)"],"antagonists":["Hope Yards Development and Relocation Association (H.Y.D.R.A.)","Jude"],"races_species":["Humans (Homo sapiens)"]}|[]|["International Iron Man  #7"]|
