uuid|metadata|indexed_metadata|searchable_metadata|exact_matching_metadata|suggest|coordinate
ultimates_vol_2_11~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/d/d5/Ultimates_Vol_2_11.jpg/revision/latest/scale-to-width-down/300","title":"Ultimates Vol 2 #11","slug":"Ultimates_Vol_2_11"}|{"supporting_chars":[{"id":"conner_sims","slug":"Conner_Sims","name":"Conner Sims"}],"antagonists":[{"id":"thanos","slug":"Thanos","name":"Thanos"}],"featured_chars":[{"id":"ultimates","slug":"Ultimates","name":"Ultimates"},{"id":"america_chavez_(utopian_parallel)","slug":"America_Chavez_(Utopian_Parallel)","name":"Ms. America (America Chavez)"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel (Col. Carol Danvers)"},{"id":"adam_brashear","slug":"Adam_Brashear","name":"Blue Marvel (Dr. Adam Brashear)"},{"id":"t%27challa","slug":"T%27Challa","name":"Black Panther (T'Challa)"},{"id":"monica_rambeau","slug":"Monica_Rambeau","name":"Spectrum (Monica Rambeau)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"titanians","slug":"Titanians","name":"Titanians"},{"id":"abstract_entities","slug":"Abstract_Entities","name":"Abstract Entities"},{"id":"cosmic_beings","slug":"Cosmic_Beings","name":"Cosmic Beings"},{"id":"cosmic_cube","slug":"Cosmic_Cube","name":"Cosmic Cubes"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"}]}|{"title":"Ultimates Vol 2 #11","featured_chars":["Ultimates","Ms. America (America Chavez)","Captain Marvel (Col. Carol Danvers)","Blue Marvel (Dr. Adam Brashear)","Black Panther (T'Challa)","Spectrum (Monica Rambeau)"],"supporting_chars":["Conner Sims"],"antagonists":["Thanos"],"races_species":["Humans","Titanians","Abstract Entities","Cosmic Beings","Cosmic Cubes","Human-Kree Hybrids"]}|[]|["Ultimates Vol 2 #11"]|
totally_awesome_hulk_vol_1_10~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/b/ba/Totally_Awesome_Hulk_Vol_1_10.jpg/revision/latest/scale-to-width-down/300","title":"Totally Awesome Hulk  #10","slug":"Totally_Awesome_Hulk_Vol_1_10"}|{"supporting_chars":[{"id":"ultimates","slug":"Ultimates","name":"Ultimates"},{"id":"t%27challa","slug":"T%27Challa","name":"Black Panther (King T'Challa)"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel (Col. Carol Danvers)"}],"antagonists":[{"id":"christian_sung","slug":"Christian_Sung","name":"\"Austin Monster\""}],"featured_chars":[{"id":"amadeus_cho","slug":"Amadeus_Cho","name":"Hulk (Amadeus Cho)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"sharks","slug":"Sharks","name":"Sharks"}]}|{"title":"Totally Awesome Hulk  #10","featured_chars":["Hulk (Amadeus Cho)"],"supporting_chars":["Ultimates","Black Panther (King T'Challa)","Captain Marvel (Col. Carol Danvers)"],"antagonists":["\"Austin Monster\""],"races_species":["Humans","Human-Kree Hybrids","Sharks"]}|[]|["Totally Awesome Hulk  #10"]|
civil_war_ii_vol_1_5~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Civil_War_II_Vol_1_5.jpg/revision/latest/scale-to-width-down/300","title":"Civil War II  #5","slug":"Civil_War_II_Vol_1_5"}|{"supporting_chars":[{"id":"guardians_of_the_galaxy","slug":"Guardians_of_the_Galaxy","name":"Guardians of the Galaxy"},{"id":"arthur_douglas","slug":"Arthur_Douglas","name":"Drax the Destroyer (Arthur Douglas)"},{"id":"benjamin_grimm","slug":"Benjamin_Grimm","name":"The Thing (Ben Grimm)"},{"id":"aldrif_odinsdottir","slug":"Aldrif_Odinsdottir","name":"Angela (Aldrif Odinsdottir)"},{"id":"katherine_pryde","slug":"Katherine_Pryde","name":"Kitty Pryde"},{"id":"groot","slug":"Groot","name":"Groot"},{"id":"eugene_thompson","slug":"Eugene_Thompson","name":"Venom (Flash Thompson)"},{"id":"peter_quill","slug":"Peter_Quill","name":"Star-Lord (Peter Quill)"},{"id":"gamora_zen_whoberi_ben_titan","slug":"Gamora_Zen_Whoberi_Ben_Titan","name":"Gamora"},{"id":"rocket_raccoon","slug":"Rocket_Raccoon","name":"Rocket Raccoon"}],"featured_chars":[{"id":"anthony_stark","slug":"Anthony_Stark","name":"Iron Man (Tony Stark)"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel (Carol Danvers)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"cosmic_beings","slug":"Cosmic_Beings","name":"Cosmic Beings"},{"id":"synthezoids","slug":"Synthezoids","name":"Synthezoids"},{"id":"homo_superior","slug":"Homo_superior","name":"Mutants"},{"id":"human-inhuman_hybrids","slug":"Human-Inhuman_Hybrids","name":"Human-Inhuman Hybrids"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"klyntar_(race)","slug":"Klyntar_(Race)","name":"Klyntar"},{"id":"zen-whoberis","slug":"Zen-Whoberis","name":"Zen-Whoberis"},{"id":"asgardians","slug":"Asgardians","name":"Asgardians"},{"id":"human-spartoi_hybrids","slug":"Human-Spartoi_Hybrids","name":"Human-Spartoi Hybrids"},{"id":"flora_colossus","slug":"Flora_colossus","name":"Flora colossus"},{"id":"inhumans_(inhomo_supremis)","slug":"Inhumans_(Inhomo_supremis)","name":"Inhumans"},{"id":"halfworlders","slug":"Halfworlders","name":"Halfworlders"},{"id":"dogs","slug":"Dogs","name":"Dogs"}]}|{"title":"Civil War II  #5","featured_chars":["Iron Man (Tony Stark)","Captain Marvel (Carol Danvers)"],"supporting_chars":["Guardians of the Galaxy","Drax the Destroyer (Arthur Douglas)","The Thing (Ben Grimm)","Angela (Aldrif Odinsdottir)","Kitty Pryde","Groot","Venom (Flash Thompson)","Star-Lord (Peter Quill)","Gamora","Rocket Raccoon"],"races_species":["Humans","Cosmic Beings","Synthezoids","Mutants","Human-Inhuman Hybrids","Human-Kree Hybrids","Klyntar","Zen-Whoberis","Asgardians","Human-Spartoi Hybrids","Flora colossus","Inhumans","Halfworlders","Dogs"]}|[]|["Civil War II  #5"]|
all-new_wolverine_vol_1_12~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/0/01/All-New_Wolverine_Vol_1_12.jpg/revision/latest/scale-to-width-down/300","title":"All-New Wolverine  #12","slug":"All-New_Wolverine_Vol_1_12"}|{"supporting_chars":[{"id":"james_howlett","slug":"James_Howlett","name":"Logan"},{"id":"strategic_homeland_intervention,_enforcement_and_logistics_division","slug":"Strategic_Homeland_Intervention,_Enforcement_and_Logistics_Division","name":"S.H.I.E.L.D."},{"id":"steven_rogers","slug":"Steven_Rogers","name":"Captain America (Steve Rogers)"},{"id":"maria_hill","slug":"Maria_Hill","name":"Director Maria Hill"}],"featured_chars":[{"id":"laura_kinney","slug":"Laura_Kinney","name":"Wolverine (Laura Kinney)"}],"races_species":[{"id":"homo_superior","slug":"Homo_superior","name":"Mutants"},{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"}]}|{"title":"All-New Wolverine  #12","featured_chars":["Wolverine (Laura Kinney)"],"supporting_chars":["Logan","S.H.I.E.L.D.","Captain America (Steve Rogers)","Director Maria Hill"],"races_species":["Mutants","Humans"]}|[]|["All-New Wolverine  #12"]|
civil_war_ii:_choosing_sides_vol_1_6~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/5/58/Civil_War_II_Choosing_Sides_Vol_1_6.jpg/revision/latest/scale-to-width-down/300","title":"Civil War II: Choosing Sides  #6","slug":"Civil_War_II:_Choosing_Sides_Vol_1_6"}|{"supporting_chars":[{"id":"anthony_stark","slug":"Anthony_Stark","name":"Tony Stark"},{"id":"clermont_county_sheriff%27s_department?action=edit&redlink=1","slug":"Clermont_County_Sheriff%27s_Department?action=edit&redlink=1","name":"Clermont County Sheriff's Department"}],"featured_chars":[{"id":"jessica_jones","slug":"Jessica_Jones","name":"Jessica Jones"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"inhumans_(inhomo_supremis)","slug":"Inhumans_(Inhomo_supremis)","name":"Inhumans"}]}|{"title":"Civil War II: Choosing Sides  #6","featured_chars":["Jessica Jones"],"supporting_chars":["Tony Stark","Clermont County Sheriff's Department"],"races_species":["Humans","Inhumans"]}|[]|["Civil War II: Choosing Sides  #6"]|
power_man_and_iron_fist_vol_3_8~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/8/8e/Power_Man_and_Iron_Fist_Vol_3_8.jpg/revision/latest/scale-to-width-down/300","title":"Power Man and Iron Fist Vol 3 #8","slug":"Power_Man_and_Iron_Fist_Vol_3_8"}|{"supporting_chars":[{"id":"shadrick_daniels","slug":"Shadrick_Daniels","name":"Mangler (Shadrick Daniels)"},{"id":"benjamin_donovan,_jr.","slug":"Benjamin_Donovan,_Jr.","name":"Little Ben Donovan"},{"id":"carlos_cabrera","slug":"Carlos_Cabrera","name":"Gamecock (Charles Cardona)"},{"id":"marta_cardona","slug":"Marta_Cardona","name":"Marta Cardona"},{"id":"gadget","slug":"Gadget","name":"Gadget"},{"id":"se%c3%b1or_m%c3%a1gico","slug":"Se%C3%B1or_M%C3%A1gico","name":"Se\u00f1or M\u00e1gico"},{"id":"cletus_evans","slug":"Cletus_Evans","name":"Disco Devil (Cletus Evans)"},{"id":"dontrell_hamilton","slug":"Dontrell_Hamilton","name":"Cockroach Hamilton (Dontrell Hamilton)"},{"id":"noah_black","slug":"Noah_Black","name":"Centurius (Dr. Noah Black)"}],"antagonists":[{"id":"albert_rackham","slug":"Albert_Rackham","name":"Billy Bob Rackham"},{"id":"quirt","slug":"Quirt","name":"Quirt"},{"id":"demons","slug":"Demons","name":"Demons"},{"id":"preemptive_strike","slug":"Preemptive_Strike","name":"Preemptive Strike"},{"id":"blast-hands_(hank)","slug":"Blast-Hands_(Hank)","name":"Blast-Hands (Hank)"},{"id":"alex_wilder","slug":"Alex_Wilder","name":"Agnitus designer"},{"id":"isadore_dudley","slug":"Isadore_Dudley","name":"Isadore Dudley"}],"featured_chars":[{"id":"heroes_for_hire_(power_man_%26_iron_fist)","slug":"Heroes_for_Hire_(Power_Man_%26_Iron_Fist)","name":"Heroes for Hire"},{"id":"luke_cage","slug":"Luke_Cage","name":"Luke Cage"},{"id":"daniel_rand","slug":"Daniel_Rand","name":"Iron Fist (Danny Rand)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"demons","slug":"Demons","name":"Demons"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"homo_superior","slug":"Homo_superior","name":"Mutants"},{"id":"cyborgs","slug":"Cyborgs","name":"Cyborgs"}]}|{"title":"Power Man and Iron Fist Vol 3 #8","featured_chars":["Heroes for Hire","Luke Cage","Iron Fist (Danny Rand)"],"supporting_chars":["Mangler (Shadrick Daniels)","Little Ben Donovan","Gamecock (Charles Cardona)","Marta Cardona","Gadget","Se\u00f1or M\u00e1gico","Disco Devil (Cletus Evans)","Cockroach Hamilton (Dontrell Hamilton)","Centurius (Dr. Noah Black)"],"antagonists":["Billy Bob Rackham","Quirt","Demons","Preemptive Strike","Blast-Hands (Hank)","Agnitus designer","Isadore Dudley"],"races_species":["Humans","Demons","Human-Kree Hybrids","Mutants","Cyborgs"]}|[]|["Power Man and Iron Fist Vol 3 #8"]|
guardians_of_the_galaxy_vol_4_12~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/c/c4/Guardians_of_the_Galaxy_Vol_4_12.jpg/revision/latest/scale-to-width-down/300","title":"Guardians of the Galaxy Vol 4 #12","slug":"Guardians_of_the_Galaxy_Vol_4_12"}|{"supporting_chars":[{"id":"alpha_flight_(space_program)","slug":"Alpha_Flight_(Space_Program)","name":"Alpha Flight"},{"id":"carol_danvers","slug":"Carol_Danvers","name":"Captain Marvel (Col. Carol Danvers)"},{"id":"walter_langkowski","slug":"Walter_Langkowski","name":"Sasquatch (Walter Langkowski)"},{"id":"jeanne-marie_beaubier","slug":"Jeanne-Marie_Beaubier","name":"Aurora (Jeanne-Marie Beaubier)"},{"id":"eugene_judd","slug":"Eugene_Judd","name":"Puck (Eugene Judd)"}],"featured_chars":[{"id":"guardians_of_the_galaxy","slug":"Guardians_of_the_Galaxy","name":"Guardians of the Galaxy"},{"id":"peter_quill","slug":"Peter_Quill","name":"Star-Lord (Peter Quill)"},{"id":"rocket_raccoon","slug":"Rocket_Raccoon","name":"Rocket Raccoon"},{"id":"benjamin_grimm","slug":"Benjamin_Grimm","name":"Thing (Ben Grimm)"},{"id":"aldrif_odinsdottir","slug":"Aldrif_Odinsdottir","name":"Angela (Aldrif Odinsdottir)"},{"id":"katherine_pryde","slug":"Katherine_Pryde","name":"Star-Lord (Kitty Pryde)"},{"id":"gamora_zen_whoberi_ben_titan","slug":"Gamora_Zen_Whoberi_Ben_Titan","name":"Gamora"},{"id":"arthur_douglas","slug":"Arthur_Douglas","name":"Drax the Destroyer (Arthur Douglas)"},{"id":"eugene_thompson","slug":"Eugene_Thompson","name":"Venom (Flash Thompson)"},{"id":"groot","slug":"Groot","name":"Groot"}],"races_species":[{"id":"human-spartoi_hybrids","slug":"Human-Spartoi_Hybrids","name":"Human-Spartoi Hybrids"},{"id":"halfworlders","slug":"Halfworlders","name":"Halfworlders"},{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"asgardians","slug":"Asgardians","name":"Asgardians"},{"id":"homo_superior","slug":"Homo_superior","name":"Mutants"},{"id":"zen-whoberis","slug":"Zen-Whoberis","name":"Zen-Whoberis"},{"id":"human-kree_hybrids","slug":"Human-Kree_Hybrids","name":"Human-Kree Hybrids"},{"id":"flora_colossus","slug":"Flora_colossus","name":"Flora colossus"},{"id":"inhumans_(inhomo_supremis)","slug":"Inhumans_(Inhomo_supremis)","name":"Inhumans"},{"id":"klyntar_(race)","slug":"Klyntar_(Race)","name":"Klyntar"}]}|{"title":"Guardians of the Galaxy Vol 4 #12","featured_chars":["Guardians of the Galaxy","Star-Lord (Peter Quill)","Rocket Raccoon","Thing (Ben Grimm)","Angela (Aldrif Odinsdottir)","Star-Lord (Kitty Pryde)","Gamora","Drax the Destroyer (Arthur Douglas)","Venom (Flash Thompson)","Groot"],"supporting_chars":["Alpha Flight","Captain Marvel (Col. Carol Danvers)","Sasquatch (Walter Langkowski)","Aurora (Jeanne-Marie Beaubier)","Puck (Eugene Judd)"],"races_species":["Human-Spartoi Hybrids","Halfworlders","Humans","Asgardians","Mutants","Zen-Whoberis","Human-Kree Hybrids","Flora colossus","Inhumans","Klyntar"]}|[]|["Guardians of the Galaxy Vol 4 #12"]|
patsy_walker,_a.k.a._hellcat!_vol_1_10~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/2/29/Patsy_Walker%2C_A.K.A._Hellcat%21_Vol_1_10.jpg/revision/latest/scale-to-width-down/300","title":"Patsy Walker, A.K.A. Hellcat!  #10","slug":"Patsy_Walker,_A.K.A._Hellcat!_Vol_1_10"}|{"supporting_chars":[{"id":"patsy_walker_temp_agency","slug":"Patsy_Walker_Temp_Agency","name":"Patsy Walker Temp Agency"},{"id":"jubilation_lee","slug":"Jubilation_Lee","name":"Jubilee (Jubes Lee)"}],"antagonists":[{"id":"belial_(demon)","slug":"Belial_(Demon)","name":"Belial"},{"id":"robert_baxter","slug":"Robert_Baxter","name":"Mad-Dog (Buzz Baxter)"},{"id":"daimon_hellstrom","slug":"Daimon_Hellstrom","name":"Son of Satan (Daimon Hellstrom)"},{"id":"black_cat%27s_gang","slug":"Black_Cat%27s_Gang","name":"Black Cat's Gang"},{"id":"felicia_hardy","slug":"Felicia_Hardy","name":"Black Cat (Felicia Hardy)"},{"id":"lina_(black_cats)?action=edit&redlink=1","slug":"Lina_(Black_Cats)?action=edit&redlink=1","name":"Lina"}],"featured_chars":[{"id":"patricia_walker","slug":"Patricia_Walker","name":"Hellcat (Patsy Walker)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"demons","slug":"Demons","name":"Demons"},{"id":"vampires","slug":"Vampires","name":"Vampires"},{"id":"human-dog_hybrids","slug":"Human-Dog_Hybrids","name":"Human-Dog Hybrids"},{"id":"human-demon_hybrids","slug":"Human-Demon_Hybrids","name":"Human-Demon Hybrids"},{"id":"human-inhuman_hybrids","slug":"Human-Inhuman_Hybrids","name":"Human-Inhuman Hybrids"}]}|{"title":"Patsy Walker, A.K.A. Hellcat!  #10","featured_chars":["Hellcat (Patsy Walker)"],"supporting_chars":["Patsy Walker Temp Agency","Jubilee (Jubes Lee)"],"antagonists":["Belial","Mad-Dog (Buzz Baxter)","Son of Satan (Daimon Hellstrom)","Black Cat's Gang","Black Cat (Felicia Hardy)","Lina"],"races_species":["Humans","Demons","Vampires","Human-Dog Hybrids","Human-Demon Hybrids","Human-Inhuman Hybrids"]}|[]|["Patsy Walker, A.K.A. Hellcat!  #10"]|
mighty_thor_vol_2_11~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/c/ca/Mighty_Thor_Vol_2_11.jpg/revision/latest/scale-to-width-down/300","title":"Mighty Thor Vol 2 #11","slug":"Mighty_Thor_Vol_2_11"}|{"supporting_chars":[{"id":"strategic_homeland_intervention,_enforcement_and_logistics_division","slug":"Strategic_Homeland_Intervention,_Enforcement_and_Logistics_Division","name":"S.H.I.E.L.D."},{"id":"agent_krill","slug":"Agent_Krill","name":"Agent Krill"},{"id":"agent_kurdle","slug":"Agent_Kurdle","name":"Agent Kurdle"},{"id":"rosalind_solomon","slug":"Rosalind_Solomon","name":"Agent Roz Solomon"},{"id":"maria_hill","slug":"Maria_Hill","name":"Director Maria Hill"}],"antagonists":[{"id":"clan_yashida","slug":"Clan_Yashida","name":"Yashida Industries"},{"id":"shingen_harada_ii","slug":"Shingen_Harada_II","name":"Silver Samurai (Shin Harada)"}],"featured_chars":[{"id":"jane_foster","slug":"Jane_Foster","name":"Thor (Dr. Jane Foster)"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"},{"id":"mindless_ones","slug":"Mindless_Ones","name":"Mindless Ones"},{"id":"bilgesnipes","slug":"Bilgesnipes","name":"Bilgesnipes"}]}|{"title":"Mighty Thor Vol 2 #11","featured_chars":["Thor (Dr. Jane Foster)"],"supporting_chars":["S.H.I.E.L.D.","Agent Krill","Agent Kurdle","Agent Roz Solomon","Director Maria Hill"],"antagonists":["Yashida Industries","Silver Samurai (Shin Harada)"],"races_species":["Humans","Mindless Ones","Bilgesnipes"]}|[]|["Mighty Thor Vol 2 #11"]|
international_iron_man_vol_1_7~book|{"img":"https://vignette.wikia.nocookie.net/marveldatabase/images/0/05/International_Iron_Man_Vol_1_7.jpg/revision/latest/scale-to-width-down/300","title":"International Iron Man  #7","slug":"International_Iron_Man_Vol_1_7"}|{"supporting_chars":[{"id":"strategic_homeland_intervention,_enforcement_and_logistics_division","slug":"Strategic_Homeland_Intervention,_Enforcement_and_Logistics_Division","name":"S.H.I.E.L.D."},{"id":"howard_stark","slug":"Howard_Stark","name":"Howard Stark"},{"id":"valentina_allegra_de_fontaine","slug":"Valentina_Allegra_de_Fontaine","name":"Agent Valentina Allegra de Fontaine"},{"id":"nicholas_fury","slug":"Nicholas_Fury","name":"Nick Fury"},{"id":"timothy_dugan","slug":"Timothy_Dugan","name":"Agent Dum-Dum Dugan"}],"antagonists":[{"id":"hydra","slug":"Hydra","name":"Hydra"},{"id":"jude_(tony_stark%27s_father)","slug":"Jude_(Tony_Stark%27s_Father)","name":"Jude"}],"featured_chars":[{"id":"amanda_armstrong","slug":"Amanda_Armstrong","name":"Amanda Armstrong"}],"races_species":[{"id":"homo_sapiens","slug":"Homo_sapiens","name":"Humans"}]}|{"title":"International Iron Man  #7","featured_chars":["Amanda Armstrong"],"supporting_chars":["S.H.I.E.L.D.","Howard Stark","Agent Valentina Allegra de Fontaine","Nick Fury","Agent Dum-Dum Dugan"],"antagonists":["Hydra","Jude"],"races_species":["Humans"]}|[]|["International Iron Man  #7"]|
